library_id,molecule_h5,cloupe_file,genotype,treatment
S5023Nr1,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/results/runs/new-runs/S5023Nr1/outs/molecule_info.h5,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/results/runs/new-runs/S5023Nr1/outs/cloupe.cloupe ,tif-mutant,saline
S5023Nr2,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/results/runs/new-runs/S5023Nr2/outs/molecule_info.h5,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/results/runs/new-runs/S5023Nr2/outs/cloupe.cloupe ,tif-mutant,L-DOPA
S5023Nr3,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/results/runs/new-runs/S5023Nr3/outs/molecule_info.h5,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/results/runs/new-runs/S5023Nr3/outs/cloupe.cloupe ,tif-mutant,L-DOPA
S5023Nr4,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/results/runs/new-runs/S5023Nr4/outs/molecule_info.h5,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/results/runs/new-runs/S5023Nr4/outs/cloupe.cloupe ,tif-mutant,saline
S3647Nr1,/home/ifpan/projects/ifpan-annaradli-spatialtrial/results/runs/S3647Nr1/outs/molecule_info.h5 ,/home/ifpan/projects/ifpan-annaradli-spatialtrial/results/runs/S3647Nr1/outs/cloupe.cloupe,control,risperidone
S3647Nr2,/home/ifpan/projects/ifpan-annaradli-spatialtrial/results/runs/S3647Nr2/outs/molecule_info.h5 ,/home/ifpan/projects/ifpan-annaradli-spatialtrial/results/runs/S3647Nr2/outs/cloupe.cloupe,control,risperidone
S3647Nr3,/home/ifpan/projects/ifpan-annaradli-spatialtrial/results/runs/S3647Nr3/outs/molecule_info.h5 ,/home/ifpan/projects/ifpan-annaradli-spatialtrial/results/runs/S3647Nr3/outs/cloupe.cloupe,control,saline
S3647Nr4,/home/ifpan/projects/ifpan-annaradli-spatialtrial/results/runs/S3647Nr4/outs/molecule_info.h5 ,/home/ifpan/projects/ifpan-annaradli-spatialtrial/results/runs/S3647Nr4/outs/cloupe.cloupe,control,saline
S5295Nr1,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/data/ar_preludium_slides2+3/S5295Nr1/outs/molecule_info.h5,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/data/ar_preludium_slides2+3/S5295Nr1/outs/cloupe.cloupe,tif-mutant,saline
S5295Nr2,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/data/ar_preludium_slides2+3/S5295Nr2/outs/molecule_info.h5,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/data/ar_preludium_slides2+3/S5295Nr2/outs/cloupe.cloupe,tif-mutant,L-DOPA
S5295Nr3,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/data/ar_preludium_slides2+3/S5295Nr3/outs/molecule_info.h5,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/data/ar_preludium_slides2+3/S5295Nr3/outs/cloupe.cloupe,tif-mutant,L-DOPA
S5295Nr4,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/data/ar_preludium_slides2+3/S5295Nr4/outs/molecule_info.h5,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/data/ar_preludium_slides2+3/S5295Nr4/outs/cloupe.cloupe,tif-control,saline
S5295Nr5,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/data/ar_preludium_slides2+3/S5295Nr5/outs/molecule_info.h5,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/data/ar_preludium_slides2+3/S5295Nr5/outs/cloupe.cloupe,tif-control,saline
S5295Nr6,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/data/ar_preludium_slides2+3/S5295Nr6/outs/molecule_info.h5,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/data/ar_preludium_slides2+3/S5295Nr6/outs/cloupe.cloupe,tif-mutant,saline
S5295Nr7,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/data/ar_preludium_slides2+3/S5295Nr7/outs/molecule_info.h5,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/data/ar_preludium_slides2+3/S5295Nr7/outs/cloupe.cloupe,tif-mutant,saline
S5295Nr8,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/data/ar_preludium_slides2+3/S5295Nr8/outs/molecule_info.h5,/home/ifpan/projects/ifpan-annaradli-spatialtrial/tif-ldopa/data/ar_preludium_slides2+3/S5295Nr8/outs/cloupe.cloupe,tif-mutant,L-DOPA
