peak	gene	cluster	t_test	wilcoxon_test	ks_test	log2ratio	control_mean	experiment_mean	control_sd	experiment_sd	control_se	experiment_se	control_skewness	experiment_skewness	control_kurtosis	experiment_kurtosis
ldopa-peak-5281	Adam23	cluster_0	0	0.0286	0.0286	0.7747	0.3544	0.6063	0.0193	0.0305	NA	0.0152	2.2775	1.3358	6.6027	2.0598
ldopa-peak-31516	Hspa4	cluster_0	0.0024	0.0286	0.0286	0.6631	0.7981	1.2637	0.1511	0.1077	NA	0.0539	1.2051	1.089	1.1046	1.5882
ldopa-peak-38021	Jup	cluster_0	0.003	0.0286	0.0286	1.1064	1.1993	2.5822	0.3805	0.4313	NA	0.2157	1.2912	0.5757	2.5117	-0.0089
ldopa-peak-79264	Atg101	cluster_0	0.0026	0.0286	0.0286	0.651	0.453	0.7113	0.049	0.0921	NA	0.046	1.3687	1.5342	1.2276	2.907
ldopa-peak-143270	Dnajb5	cluster_0	0.0073	0.0286	0.0286	1.1955	0.3306	0.7572	0.0802	0.1991	NA	0.0995	2.5613	1.2538	11.5108	1.6363
ldopa-peak-157487	Gm1673	cluster_0	0.0071	0.0286	0.0286	0.5986	1.4274	2.1614	0.1417	0.3387	NA	0.1693	0.961	0.8967	1.0206	1.5205
ldopa-peak-166945	Vgf	cluster_0	0.0092	0.0571	0.2286	0.6437	1.8397	2.8743	0.4827	0.2594	NA	0.1297	1.1551	1.201	1.6054	2.95
ldopa-peak-167888	Nptx2	cluster_0	0.0049	0.0286	0.0286	1.2638	0.2843	0.6828	0.0538	0.1758	NA	0.0879	2.0856	1.6624	5.2865	3.5681
ldopa-peak-203934	Ist1	cluster_0	8e-04	0.0286	0.0286	0.513	0.4928	0.7033	0.0482	0.0476	NA	0.0238	1.9927	1.1453	5.4427	1.2325
ldopa-peak-218342	Trak1	cluster_0	0.0017	0.0286	0.0286	0.5625	0.7363	1.0874	0.0843	0.0993	NA	0.0497	1.512	1.0334	2.8227	0.7337
ldopa-peak-24541	Dusp6	cluster_1	0.001	0.0159	0.0159	0.8403	0.5644	1.0105	0.1225	0.1225	0.0548	0.0613	1.8294	1.0921	5.0023	1.3129
ldopa-peak-33416	Per1	cluster_1	0.0055	0.0317	0.0794	0.8052	0.9091	1.5886	0.1514	0.3499	0.0677	0.175	1.4489	1.1823	3.2068	2.0922
ldopa-peak-67082	Egr3	cluster_1	0.0072	0.0159	0.0159	0.7818	1.3557	2.3309	0.3494	0.4343	0.1562	0.2171	1.433	0.85	3.4414	1.1581
ldopa-peak-79261	Nr4a1	cluster_1	0.0089	0.0317	0.0794	2.3726	0.5197	2.6916	0.176	1.3636	0.0787	0.6818	2.3641	1.0011	9.0406	0.7228
ldopa-peak-82834	Bdh1	cluster_1	0.0084	0.0159	0.0159	0.5475	0.4132	0.6039	0.0992	0.0347	0.0444	0.0174	1.8974	1.3407	4.5521	1.6303
ldopa-peak-99898	Egr1	cluster_1	0.0029	0.0159	0.0159	1.6393	1.9627	6.1142	0.7008	1.9607	0.3134	0.9803	1.3028	0.9386	2.7467	2.2025
ldopa-peak-109807	Adrb1	cluster_1	0.0058	0.0317	0.0794	0.8003	0.4019	0.6999	0.0936	0.1357	0.0419	0.0678	2.0097	1.1803	5.4403	1.1583
ldopa-peak-175413	Egr4	cluster_1	0.0074	0.0317	0.0794	2.1811	0.3622	1.6427	0.1378	0.7658	0.0616	0.3829	1.9658	1.2335	4.1904	1.9524
ldopa-peak-24541	Dusp6	cluster_3	0.0096	0.0317	0.0794	0.9188	0.5623	1.0631	0.1306	0.2855	0.0584	0.1428	1.7561	0.9763	3.3419	0.5452
ldopa-peak-27020	Nab2	cluster_3	0.0074	0.0159	0.0159	0.9232	0.3522	0.6678	0.0863	0.1655	0.0386	0.0828	1.9508	1.118	4.1735	0.6143
ldopa-peak-27773	Nefh	cluster_3	0.0055	0.0159	0.0159	0.6429	0.4002	0.6249	0.0832	0.0867	0.0372	0.0434	1.9915	1.4123	4.6112	2.0452
ldopa-peak-38021	Jup	cluster_3	0.0066	0.0159	0.0159	1.2555	1.2927	3.0865	0.7966	0.5496	0.3562	0.2748	1.7616	0.5336	5.0518	0.0922
ldopa-peak-38303	Arl4d	cluster_3	0.0089	0.0317	0.0794	1.6623	0.2245	0.7106	0.1158	0.2778	0.0518	0.1389	2.3834	1.9235	6.3968	5.1769
ldopa-peak-77513	Pim3	cluster_3	0.0085	0.0159	0.0159	0.9414	0.4091	0.7856	0.0759	0.2198	0.034	0.1099	1.8646	1.2322	4.8163	1.3311
ldopa-peak-79261	Nr4a1	cluster_3	0.0069	0.0317	0.0794	2.488	0.4991	2.7998	0.2182	1.3652	0.0976	0.6826	1.8819	0.8694	4.7399	0.9896
ldopa-peak-99898	Egr1	cluster_3	0.0023	0.0159	0.0159	1.4536	2.1844	5.9829	0.5552	1.7361	0.2483	0.8681	1.0812	0.8827	1.25	1.3209
ldopa-peak-107877	Cpeb3	cluster_3	0.01	0.0159	0.0159	0.5378	0.476	0.6911	0.1132	0.0498	0.0506	0.0249	1.7964	1.337	3.7014	1.8726
ldopa-peak-109807	Adrb1	cluster_3	0.004	0.0159	0.0159	0.5106	0.6957	0.9911	0.0867	0.1242	0.0388	0.0621	1.5409	0.922	2.6945	0.1475
ldopa-peak-135234	Mcl1	cluster_3	0.0042	0.0159	0.0159	0.6292	0.4865	0.7524	0.0886	0.1029	0.0396	0.0514	2.2413	1.4538	7.2549	3.0537
ldopa-peak-143270	Dnajb5	cluster_3	0.0099	0.0317	0.0794	0.9069	0.6237	1.1695	0.1732	0.2925	0.0775	0.1463	1.7775	1.1516	4.177	1.4373
ldopa-peak-163348	Galnt9	cluster_3	0.007	0.0159	0.0159	0.7774	0.4908	0.8413	0.1773	0.0539	0.0793	0.027	1.6609	1.3932	3.2746	2.3306
ldopa-peak-177713	Bhlhe40	cluster_3	0.0038	0.0159	0.0159	0.641	2.3806	3.7124	0.5649	0.2906	0.2526	0.1453	0.8403	0.5057	0.8908	0.1852
ldopa-peak-201973	Asna1	cluster_3	0.0032	0.0159	0.0159	0.5256	1.3989	2.0138	0.2322	0.173	0.1038	0.0865	1.251	0.6809	2.4127	0.4317
ldopa-peak-207521	Ilf3	cluster_3	0.0099	0.0159	0.0159	0.5305	0.525	0.7583	0.0997	0.0984	0.0446	0.0492	1.6673	1.221	3.042	1.4188
